"Date","MSIMZMA"
1967-01-01,612
1967-02-01,614.8
1967-03-01,620
1967-04-01,619.3
1967-05-01,624.2
1967-06-01,628.8
1967-07-01,632.4
1967-08-01,637.2
1967-09-01,640.5
1967-10-01,643.4
1967-11-01,645.8
1967-12-01,648.1
1968-01-01,650.2
1968-02-01,651.3
1968-03-01,653.8
1968-04-01,656.3
1968-05-01,659.5
1968-06-01,663
1968-07-01,665.1
1968-08-01,668.7
1968-09-01,671.8
1968-10-01,674.8
1968-11-01,680
1968-12-01,684.3
1969-01-01,686.8
1969-02-01,687.7
1969-03-01,689.7
1969-04-01,690
1969-05-01,689.6
1969-06-01,691
1969-07-01,689.5
1969-08-01,687.8
1969-09-01,688.7
1969-10-01,689
1969-11-01,690.1
1969-12-01,691
1970-01-01,694.4
1970-02-01,686.6
1970-03-01,684.5
1970-04-01,683.3
1970-05-01,683.1
1970-06-01,684.2
1970-07-01,686.2
1970-08-01,691.7
1970-09-01,697.8
1970-10-01,702
1970-11-01,705.4
1970-12-01,709.3
1971-01-01,714.2
1971-02-01,720.7
1971-03-01,726.9
1971-04-01,732.7
1971-05-01,740
1971-06-01,745.4
1971-07-01,750.9
1971-08-01,755
1971-09-01,759.6
1971-10-01,763.3
1971-11-01,766.5
1971-12-01,769.7
1972-01-01,775.9
1972-02-01,783
1972-03-01,789.5
1972-04-01,793.8
1972-05-01,796
1972-06-01,799.8
1972-07-01,807
1972-08-01,814.9
1972-09-01,822.7
1972-10-01,828.9
1972-11-01,834.3
1972-12-01,842.6
1973-01-01,848.6
1973-02-01,850.4
1973-03-01,849.9
1973-04-01,852.3
1973-05-01,858.1
1973-06-01,863.3
1973-07-01,865.9
1973-08-01,864.5
1973-09-01,863.8
1973-10-01,866.6
1973-11-01,870.8
1973-12-01,875.6
1974-01-01,878.2
1974-02-01,881.5
1974-03-01,885.4
1974-04-01,887.3
1974-05-01,888.2
1974-06-01,890.7
1974-07-01,894
1974-08-01,895.9
1974-09-01,898.5
1974-10-01,902.9
1974-11-01,907.8
1974-12-01,911.5
1975-01-01,913.5
1975-02-01,919
1975-03-01,926.7
1975-04-01,931.7
1975-05-01,943.5
1975-06-01,957.3
1975-07-01,965.1
1975-08-01,969.7
1975-09-01,976.4
1975-10-01,978.9
1975-11-01,986
1975-12-01,991
1976-01-01,999.4
1976-02-01,1012.6
1976-03-01,1022.5
1976-04-01,1031.8
1976-05-01,1038.9
1976-06-01,1040.9
1976-07-01,1046.3
1976-08-01,1054.9
1976-09-01,1061.2
1976-10-01,1072.3
1976-11-01,1082.7
1976-12-01,1094.2
1977-01-01,1104.1
1977-02-01,1115.1
1977-03-01,1122.9
1977-04-01,1130.9
1977-05-01,1135.8
1977-06-01,1140.7
1977-07-01,1146.6
1977-08-01,1154.9
1977-09-01,1162.4
1977-10-01,1168.7
1977-11-01,1176.7
1977-12-01,1183.1
1978-01-01,1193
1978-02-01,1196.7
1978-03-01,1201.5
1978-04-01,1209.1
1978-05-01,1220.8
1978-06-01,1224
1978-07-01,1221.6
1978-08-01,1226.2
1978-09-01,1232.7
1978-10-01,1233.4
1978-11-01,1231.6
1978-12-01,1226.6
1979-01-01,1218
1979-02-01,1213.6
1979-03-01,1214.6
1979-04-01,1221.1
1979-05-01,1221
1979-06-01,1229
1979-07-01,1237.3
1979-08-01,1242.2
1979-09-01,1239.3
1979-10-01,1231.4
1979-11-01,1218.1
1979-12-01,1214.8
1980-01-01,1215.7
1980-02-01,1217.2
1980-03-01,1202.1
1980-04-01,1176.1
1980-05-01,1174
1980-06-01,1193.3
1980-07-01,1217.7
1980-08-01,1240.7
1980-09-01,1254.7
1980-10-01,1262.4
1980-11-01,1258.5
1980-12-01,1236.8
1981-01-01,1213.6
1981-02-01,1208.3
1981-03-01,1211.1
1981-04-01,1226.4
1981-05-01,1216.5
1981-06-01,1209.7
1981-07-01,1213.9
1981-08-01,1208.4
1981-09-01,1203.4
1981-10-01,1202.4
1981-11-01,1207.9
1981-12-01,1222
1982-01-01,1236.1
1982-02-01,1230.8
1982-03-01,1230.6
1982-04-01,1238.2
1982-05-01,1239.6
1982-06-01,1242.2
1982-07-01,1241.2
1982-08-01,1254.3
1982-09-01,1268.3
1982-10-01,1290.1
1982-11-01,1310.2
1982-12-01,1335.7
1983-01-01,1396.1
1983-02-01,1444.8
1983-03-01,1469.4
1983-04-01,1479.6
1983-05-01,1496.7
1983-06-01,1505.1
1983-07-01,1508.8
1983-08-01,1510.3
1983-09-01,1511.7
1983-10-01,1515.9
1983-11-01,1515.7
1983-12-01,1518.1
1984-01-01,1524.5
1984-02-01,1534.1
1984-03-01,1544.5
1984-04-01,1554.1
1984-05-01,1557.7
1984-06-01,1561.4
1984-07-01,1559.3
1984-08-01,1553
1984-09-01,1554.8
1984-10-01,1560.7
1984-11-01,1575
1984-12-01,1592.8
1985-01-01,1615.4
1985-02-01,1636.2
1985-03-01,1645.2
1985-04-01,1652.5
1985-05-01,1666.5
1985-06-01,1690.6
1985-07-01,1707.8
1985-08-01,1726
1985-09-01,1740.7
1985-10-01,1752.5
1985-11-01,1761.7
1985-12-01,1776
1986-01-01,1781.6
1986-02-01,1790.9
1986-03-01,1811.9
1986-04-01,1837.2
1986-05-01,1869
1986-06-01,1892.9
1986-07-01,1918.6
1986-08-01,1943.3
1986-09-01,1970.6
1986-10-01,1994.5
1986-11-01,2014.1
1986-12-01,2050.7
1987-01-01,2062.8
1987-02-01,2067.4
1987-03-01,2074.9
1987-04-01,2092.8
1987-05-01,2097.1
1987-06-01,2091.4
1987-07-01,2088.6
1987-08-01,2090.1
1987-09-01,2093.1
1987-10-01,2102.4
1987-11-01,2091.8
1987-12-01,2086.2
1988-01-01,2097.9
1988-02-01,2105.2
1988-03-01,2114.5
1988-04-01,2125.7
1988-05-01,2133.4
1988-06-01,2141.8
1988-07-01,2144
1988-08-01,2142.6
1988-09-01,2137.4
1988-10-01,2133.2
1988-11-01,2138.2
1988-12-01,2138.5
1989-01-01,2128.9
1989-02-01,2117.4
1989-03-01,2112.4
1989-04-01,2099.1
1989-05-01,2086.9
1989-06-01,2085.3
1989-07-01,2098.5
1989-08-01,2108.1
1989-09-01,2117.3
1989-10-01,2133.5
1989-11-01,2144.3
1989-12-01,2158.8
1990-01-01,2171.4
1990-02-01,2180.9
1990-03-01,2189.5
1990-04-01,2198.9
1990-05-01,2197.2
1990-06-01,2208.5
1990-07-01,2217.8
1990-08-01,2236
1990-09-01,2250.3
1990-10-01,2255.1
1990-11-01,2258.8
1990-12-01,2267.9
1991-01-01,2284
1991-02-01,2304.7
1991-03-01,2325.9
1991-04-01,2344.1
1991-05-01,2364.1
1991-06-01,2383.9
1991-07-01,2396.9
1991-08-01,2406.6
1991-09-01,2417.2
1991-10-01,2441.4
1991-11-01,2466.3
1991-12-01,2495.2
1992-01-01,2530
1992-02-01,2576.1
1992-03-01,2601.8
1992-04-01,2619.4
1992-05-01,2641.5
1992-06-01,2654.5
1992-07-01,2675.4
1992-08-01,2702.3
1992-09-01,2729
1992-10-01,2750.8
1992-11-01,2768
1992-12-01,2773.9
1993-01-01,2774.6
1993-02-01,2783.2
1993-03-01,2791
1993-04-01,2800.1
1993-05-01,2838.8
1993-06-01,2850.4
1993-07-01,2858.5
1993-08-01,2871
1993-09-01,2886.5
1993-10-01,2899.6
1993-11-01,2921.8
1993-12-01,2934.1
1994-01-01,2939.3
1994-02-01,2937.9
1994-03-01,2949.4
1994-04-01,2955.9
1994-05-01,2960.8
1994-06-01,2947.5
1994-07-01,2952.6
1994-08-01,2945.2
1994-09-01,2940.4
1994-10-01,2933.7
1994-11-01,2927.3
1994-12-01,2916.1
1995-01-01,2909.7
1995-02-01,2885.8
1995-03-01,2870.7
1995-04-01,2865.1
1995-05-01,2876.3
1995-06-01,2894.4
1995-07-01,2905.5
1995-08-01,2920.7
1995-09-01,2930
1995-10-01,2939.6
1995-11-01,2942.7
1995-12-01,2950.4
1996-01-01,2971.1
1996-02-01,2984.7
1996-03-01,3013.9
1996-04-01,3027.1
1996-05-01,3038
1996-06-01,3054.7
1996-07-01,3071.2
1996-08-01,3077.7
1996-09-01,3087.6
1996-10-01,3100.1
1996-11-01,3117.7
1996-12-01,3138.7
1997-01-01,3153.4
1997-02-01,3167.2
1997-03-01,3182.9
1997-04-01,3195.6
1997-05-01,3208.8
1997-06-01,3223.7
1997-07-01,3244.1
1997-08-01,3273.2
1997-09-01,3295.5
1997-10-01,3314.1
1997-11-01,3336
1997-12-01,3361.6
1998-01-01,3385.6
1998-02-01,3415.7
1998-03-01,3440.4
1998-04-01,3469.6
1998-05-01,3494.1
1998-06-01,3521.7
1998-07-01,3543.3
1998-08-01,3570.6
1998-09-01,3613.8
1998-10-01,3658.4
1998-11-01,3702.5
1998-12-01,3742.7
1999-01-01,3767.8
1999-02-01,3800.9
1999-03-01,3813.3
1999-04-01,3850.1
1999-05-01,3875.5
1999-06-01,3900.5
1999-07-01,3923.2
1999-08-01,3943.9
1999-09-01,3954.7
1999-10-01,3974.6
1999-11-01,4003.3
1999-12-01,4029.3
2000-01-01,4046.7
2000-02-01,4049.5
2000-03-01,4072
2000-04-01,4110.1
2000-05-01,4102.4
2000-06-01,4112
2000-07-01,4130.7
2000-08-01,4158.6
2000-09-01,4187.5
2000-10-01,4200.9
2000-11-01,4208.1
2000-12-01,4241.3
2001-01-01,4300.4
2001-02-01,4361.1
2001-03-01,4431.2
2001-04-01,4503.5
2001-05-01,4546.3
2001-06-01,4608.9
2001-07-01,4657.9
2001-08-01,4689.7
2001-09-01,4838.4
2001-10-01,4887.7
2001-11-01,4959.8
2001-12-01,5031.6
2002-01-01,5065.8
2002-02-01,5104.6
2002-03-01,5122.5
2002-04-01,5141.4
2002-05-01,5171
2002-06-01,5191.3
2002-07-01,5236.9
2002-08-01,5263.9
2002-09-01,5275.8
2002-10-01,5309.9
2002-11-01,5413.3
2002-12-01,5460.4
2003-01-01,5472.3
2003-02-01,5501.4
2003-03-01,5505.6
2003-04-01,5530.7
2003-05-01,5570.8
2003-06-01,5613.4
2003-07-01,5706
2003-08-01,5725.1
2003-09-01,5711.3
2003-10-01,5694
2003-11-01,5684.8
2003-12-01,5668.4
2004-01-01,5678.3
2004-02-01,5709.7
2004-03-01,5752.6
2004-04-01,5795.4
2004-05-01,5860.8
2004-06-01,5868.1
2004-07-01,5869.2
2004-08-01,5878.9
2004-09-01,5901.1
2004-10-01,5904.3
2004-11-01,5932.6
2004-12-01,5937.1
2005-01-01,5922.1
2005-02-01,5921.5
2005-03-01,5919.7
2005-04-01,5916.5
2005-05-01,5913.4
2005-06-01,5943.3
2005-07-01,5961.7
2005-08-01,5985.8
2005-09-01,6017.7
2005-10-01,6040.7
2005-11-01,6052.8
2005-12-01,6076.1
2006-01-01,6102.7
2006-02-01,6112.3
2006-03-01,6108.6
2006-04-01,6124.6
2006-05-01,6118.5
2006-06-01,6134.5
2006-07-01,6145.5
2006-08-01,6152.9
2006-09-01,6159.9
2006-10-01,6201.8
2006-11-01,6230.3
2006-12-01,6269.4
2007-01-01,6292.5
2007-02-01,6301.7
2007-03-01,6326
2007-04-01,6389.7
2007-05-01,6412.4
2007-06-01,6434.1
2007-07-01,6471.2
2007-08-01,6542.8
2007-09-01,6583.8
2007-10-01,6628.7
2007-11-01,6668.7
2007-12-01,6699.7
2008-01-01,6724
2008-02-01,6852.7
2008-03-01,6958.4
2008-04-01,7025.9
2008-05-01,7055.6
2008-06-01,7088.2
2008-07-01,7137
2008-08-01,7118.6
2008-09-01,7157.2
2008-10-01,7187.9
2008-11-01,7278
2008-12-01,7475
2009-01-01,7583.9
2009-02-01,7647
2009-03-01,7720.8
2009-04-01,7745.9
2009-05-01,7810.2
2009-06-01,7830.6
2009-07-01,7833.9
2009-08-01,7795.5
2009-09-01,7796
2009-10-01,7785.1
2009-11-01,7783.5
2009-12-01,7764.6
2010-01-01,7699.7
2010-02-01,7716.5
2010-03-01,7664.8
2010-04-01,7632.7
2010-05-01,7644
2010-06-01,7658.4
2010-07-01,7685.5
2010-08-01,7741.7
2010-09-01,7797.9
2010-10-01,7844.6
2010-11-01,7896
2010-12-01,7913.2
2011-01-01,7904.6
2011-02-01,7942.3
2011-03-01,8004.3
2011-04-01,8077
2011-05-01,8146.4
2011-06-01,8205.3
2011-07-01,8340.1
2011-08-01,8460.2
2011-09-01,8513.9
2011-10-01,8546.1
2011-11-01,8592.4
2011-12-01,8631.3
2012-01-01,8696.6
2012-02-01,8723.5
2012-03-01,8766.5
2012-04-01,8802.4
2012-05-01,8842
2012-06-01,8885.1
2012-07-01,8976.7
2012-08-01,9053.3
2012-09-01,9130.5
2012-10-01,9202.8
2012-11-01,9250.8
2012-12-01,9356
2013-01-01,9419.2
2013-02-01,9406.9
2013-03-01,9433.2
2013-04-01,9486.7
2013-05-01,9505
2013-06-01,9550.6
2013-07-01,9653.9
2013-08-01,9708.6
2013-09-01,9783.7
2013-10-01,9894.3
2013-11-01,9888.6
2013-12-01,9921.8
