"Date","MZMNS"
1959-01-01,278.1
1959-02-01,276
1959-03-01,276.1
1959-04-01,278.2
1959-05-01,278
1959-06-01,280.2
1959-07-01,282.1
1959-08-01,282.4
1959-09-01,283.7
1959-10-01,284.8
1959-11-01,286.2
1959-12-01,289.4
1960-01-01,290
1960-02-01,287.1
1960-03-01,286.6
1960-04-01,288.5
1960-05-01,287
1960-06-01,288.7
1960-07-01,290.9
1960-08-01,292.3
1960-09-01,294.8
1960-10-01,297
1960-11-01,299.1
1960-12-01,303
1961-01-01,304.7
1961-02-01,303.6
1961-03-01,304.1
1961-04-01,306.8
1961-05-01,305.9
1961-06-01,308.2
1961-07-01,309.9
1961-08-01,310.6
1961-09-01,313.4
1961-10-01,316.2
1961-11-01,319.3
1961-12-01,324
1962-01-01,325.5
1962-02-01,323.7
1962-03-01,324.6
1962-04-01,327.9
1962-05-01,326.7
1962-06-01,329
1962-07-01,331
1962-08-01,331.5
1962-09-01,334.1
1962-10-01,337.6
1962-11-01,340.9
1962-12-01,346.1
1963-01-01,348.5
1963-02-01,347
1963-03-01,348.2
1963-04-01,351.8
1963-05-01,350.9
1963-06-01,353.8
1963-07-01,356.8
1963-08-01,357.4
1963-09-01,360.3
1963-10-01,363.6
1963-11-01,367.2
1963-12-01,371.4
1964-01-01,373.6
1964-02-01,371.4
1964-03-01,372.3
1964-04-01,375.7
1964-05-01,374.3
1964-06-01,377.8
1964-07-01,381.3
1964-08-01,382.7
1964-09-01,386.9
1964-10-01,391
1964-11-01,394.3
1964-12-01,399.8
1965-01-01,402.4
1965-02-01,399.3
1965-03-01,400.9
1965-04-01,404.7
1965-05-01,401.8
1965-06-01,406
1965-07-01,409.2
1965-08-01,409.9
1965-09-01,414.5
1965-10-01,419.4
1965-11-01,422.8
1965-12-01,429.5
1966-01-01,431.8
1966-02-01,426.9
1966-03-01,427.1
1966-04-01,428.6
1966-05-01,422.4
1966-06-01,424.4
1966-07-01,423.7
1966-08-01,421.2
1966-09-01,423.8
1966-10-01,424.5
1966-11-01,425.3
1966-12-01,430.3
1967-01-01,429.6
1967-02-01,424.3
1967-03-01,427
1967-04-01,430
1967-05-01,428.2
1967-06-01,433.7
1967-07-01,436.8
1967-08-01,437.6
1967-09-01,441.5
1967-10-01,445.4
1967-11-01,447.1
1967-12-01,452.4
1968-01-01,452.6
1968-02-01,445.9
1968-03-01,448
1968-04-01,451.7
1968-05-01,448.4
1968-06-01,453.2
1968-07-01,454.8
1968-08-01,454.4
1968-09-01,458
1968-10-01,461.7
1968-11-01,464.9
1968-12-01,471.9
1969-01-01,472.4
1969-02-01,464.7
1969-03-01,466.8
1969-04-01,469.7
1969-05-01,464.5
1969-06-01,468.5
1969-07-01,467.7
1969-08-01,463.6
1969-09-01,465.2
1969-10-01,467.1
1969-11-01,467.9
1969-12-01,472.7
1970-01-01,471.8
1970-02-01,459
1970-03-01,459
1970-04-01,461.6
1970-05-01,455.9
1970-06-01,459.6
1970-07-01,461.1
1970-08-01,460.8
1970-09-01,464.8
1970-10-01,468.6
1970-11-01,471.1
1970-12-01,479
1971-01-01,482.1
1971-02-01,479.4
1971-03-01,486.9
1971-04-01,496.3
1971-05-01,496.2
1971-06-01,503.7
1971-07-01,507.8
1971-08-01,506.9
1971-09-01,510.2
1971-10-01,513.9
1971-11-01,516.5
1971-12-01,524.4
1972-01-01,527.5
1972-02-01,524.6
1972-03-01,532.3
1972-04-01,540.5
1972-05-01,536.8
1972-06-01,544.2
1972-07-01,549.4
1972-08-01,550
1972-09-01,554.8
1972-10-01,559.7
1972-11-01,564
1972-12-01,574.8
1973-01-01,576.5
1973-02-01,569.6
1973-03-01,573.7
1973-04-01,580.7
1973-05-01,578
1973-06-01,586.4
1973-07-01,588.5
1973-08-01,581.9
1973-09-01,580.1
1973-10-01,582.5
1973-11-01,585.5
1973-12-01,594.2
1974-01-01,593.4
1974-02-01,587.1
1974-03-01,593.7
1974-04-01,601.2
1974-05-01,595.5
1974-06-01,602.7
1974-07-01,605.5
1974-08-01,601.3
1974-09-01,601.8
1974-10-01,605.9
1974-11-01,610.2
1974-12-01,618.9
1975-01-01,618.5
1975-02-01,614.3
1975-03-01,625.3
1975-04-01,637.2
1975-05-01,638.5
1975-06-01,654.5
1975-07-01,661.4
1975-08-01,660.5
1975-09-01,663.6
1975-10-01,667.5
1975-11-01,674.1
1975-12-01,683.3
1976-01-01,686.6
1976-02-01,688.1
1976-03-01,700
1976-04-01,715.8
1976-05-01,714.4
1976-06-01,721.7
1976-07-01,727.9
1976-08-01,728.8
1976-09-01,733.8
1976-10-01,745
1976-11-01,751.5
1976-12-01,766
1977-01-01,770.9
1977-02-01,767.5
1977-03-01,778
1977-04-01,794.2
1977-05-01,788.7
1977-06-01,798.1
1977-07-01,806.2
1977-08-01,805.6
1977-09-01,811
1977-10-01,818.4
1977-11-01,820.8
1977-12-01,830.6
1978-01-01,832.7
1978-02-01,823.8
1978-03-01,832.6
1978-04-01,848.8
1978-05-01,844
1978-06-01,852.1
1978-07-01,854.1
1978-08-01,849.7
1978-09-01,855.2
1978-10-01,857.1
1978-11-01,851.5
1978-12-01,854.5
1979-01-01,843.1
1979-02-01,827.4
1979-03-01,834.5
1979-04-01,850
1979-05-01,838.9
1979-06-01,853.4
1979-07-01,865.5
1979-08-01,864.6
1979-09-01,865.3
1979-10-01,860.3
1979-11-01,848.9
1979-12-01,855.4
1980-01-01,852.7
1980-02-01,844.3
1980-03-01,841.6
1980-04-01,833.6
1980-05-01,824.4
1980-06-01,852.3
1980-07-01,879.8
1980-08-01,894.1
1980-09-01,901.6
1980-10-01,907.7
1980-11-01,903.7
1980-12-01,892.1
1981-01-01,875.7
1981-02-01,868.2
1981-03-01,888.2
1981-04-01,922.7
1981-05-01,905.9
1981-06-01,908.9
1981-07-01,925.6
1981-08-01,925.1
1981-09-01,931.2
1981-10-01,939.8
1981-11-01,952.2
1981-12-01,975.3
1982-01-01,983.3
1982-02-01,965.4
1982-03-01,974.2
1982-04-01,994.6
1982-05-01,986.4
1982-06-01,999.7
1982-07-01,1004
1982-08-01,1017.2
1982-09-01,1029.9
1982-10-01,1051.1
1982-11-01,1070.7
1982-12-01,1112.4
1983-01-01,1215.1
1983-02-01,1276.7
1983-03-01,1319.6
1983-04-01,1348.6
1983-05-01,1352.1
1983-06-01,1370.6
1983-07-01,1377.5
1983-08-01,1369.5
1983-09-01,1369.8
1983-10-01,1376.5
1983-11-01,1380.9
1983-12-01,1391.7
1984-01-01,1392.4
1984-02-01,1388.6
1984-03-01,1407.1
1984-04-01,1430.5
1984-05-01,1419.5
1984-06-01,1431.3
1984-07-01,1430.6
1984-08-01,1415.3
1984-09-01,1418.3
1984-10-01,1434.6
1984-11-01,1462.3
1984-12-01,1497.2
1985-01-01,1519.5
1985-02-01,1525.3
1985-03-01,1542.9
1985-04-01,1562.5
1985-05-01,1561.5
1985-06-01,1599.1
1985-07-01,1616.8
1985-08-01,1626.2
1985-09-01,1637.4
1985-10-01,1651
1985-11-01,1668.2
1985-12-01,1688.5
1986-01-01,1691.4
1986-02-01,1682.4
1986-03-01,1709.5
1986-04-01,1752.2
1986-05-01,1767
1986-06-01,1803.5
1986-07-01,1832
1986-08-01,1852.2
1986-09-01,1875.9
1986-10-01,1905.5
1986-11-01,1934.4
1986-12-01,1974.4
1987-01-01,1986.8
1987-02-01,1973.9
1987-03-01,1991.1
1987-04-01,2024
1987-05-01,2006.1
1987-06-01,2012.4
1987-07-01,2015
1987-08-01,2010
1987-09-01,2006.1
1987-10-01,2012.4
1987-11-01,2012.5
1987-12-01,2017.8
1988-01-01,2025.9
1988-02-01,2015.6
1988-03-01,2033.2
1988-04-01,2060
1988-05-01,2039.9
1988-06-01,2055.5
1988-07-01,2063.5
1988-08-01,2052.6
1988-09-01,2041.5
1988-10-01,2040.3
1988-11-01,2055.8
1988-12-01,2066.4
1989-01-01,2049.2
1989-02-01,2021
1989-03-01,2026
1989-04-01,2033.6
1989-05-01,1993.2
1989-06-01,2009.2
1989-07-01,2033.6
1989-08-01,2046.3
1989-09-01,2058.9
1989-10-01,2078.3
1989-11-01,2107.4
1989-12-01,2136.1
1990-01-01,2140.2
1990-02-01,2140.5
1990-03-01,2161.9
1990-04-01,2186.6
1990-05-01,2154.2
1990-06-01,2174.3
1990-07-01,2183.6
1990-08-01,2200.5
1990-09-01,2212.6
1990-10-01,2218.9
1990-11-01,2236.2
1990-12-01,2261.1
1991-01-01,2271.6
1991-02-01,2290.2
1991-03-01,2325.6
1991-04-01,2356.8
1991-05-01,2350.8
1991-06-01,2378.2
1991-07-01,2389.8
1991-08-01,2401.1
1991-09-01,2407.7
1991-10-01,2434.1
1991-11-01,2479
1991-12-01,2519.6
1992-01-01,2544.7
1992-02-01,2585.4
1992-03-01,2615.4
1992-04-01,2648.1
1992-05-01,2643.3
1992-06-01,2658.1
1992-07-01,2680.7
1992-08-01,2710.6
1992-09-01,2724.8
1992-10-01,2748
1992-11-01,2783.1
1992-12-01,2797.3
1993-01-01,2787.7
1993-02-01,2781.6
1993-03-01,2793.2
1993-04-01,2816.8
1993-05-01,2824.4
1993-06-01,2838.2
1993-07-01,2847.1
1993-08-01,2856.1
1993-09-01,2862.6
1993-10-01,2879.6
1993-11-01,2914.6
1993-12-01,2943.2
1994-01-01,2934
1994-02-01,2909.9
1994-03-01,2928.2
1994-04-01,2956.9
1994-05-01,2923.8
1994-06-01,2918.5
1994-07-01,2928.5
1994-08-01,2915.9
1994-09-01,2902.3
1994-10-01,2901.4
1994-11-01,2911.1
1994-12-01,2918.5
1995-01-01,2898.4
1995-02-01,2856.2
1995-03-01,2853.5
1995-04-01,2869.5
1995-05-01,2846.3
1995-06-01,2886
1995-07-01,2912.2
1995-08-01,2928.8
1995-09-01,2936
1995-10-01,2945.6
1995-11-01,2970.8
1995-12-01,3003.8
1996-01-01,3008.6
1996-02-01,3013.4
1996-03-01,3062.3
1996-04-01,3084.6
1996-05-01,3054
1996-06-01,3090.3
1996-07-01,3109.4
1996-08-01,3122.2
1996-09-01,3125.8
1996-10-01,3140.5
1996-11-01,3185.3
1996-12-01,3236.4
1997-01-01,3238.9
1997-02-01,3244.6
1997-03-01,3285.6
1997-04-01,3310.8
1997-05-01,3272.5
1997-06-01,3306.5
1997-07-01,3329
1997-08-01,3371.4
1997-09-01,3385.9
1997-10-01,3408
1997-11-01,3453.8
1997-12-01,3507.7
1998-01-01,3524.6
1998-02-01,3550.9
1998-03-01,3606.6
1998-04-01,3656.7
1998-05-01,3637.8
1998-06-01,3682.2
1998-07-01,3705.1
1998-08-01,3754.5
1998-09-01,3801.4
1998-10-01,3864.2
1998-11-01,3945.3
1998-12-01,4024.2
1999-01-01,4046
1999-02-01,4079.5
1999-03-01,4115.3
1999-04-01,4167.1
1999-05-01,4134.2
1999-06-01,4167.6
1999-07-01,4182.5
1999-08-01,4217.4
1999-09-01,4224
1999-10-01,4256.2
1999-11-01,4314.8
1999-12-01,4393
2000-01-01,4413.1
2000-02-01,4409.3
2000-03-01,4475.2
2000-04-01,4526.2
2000-05-01,4451.2
2000-06-01,4470.9
2000-07-01,4493.7
2000-08-01,4541
2000-09-01,4581.8
2000-10-01,4602.5
2000-11-01,4648
2000-12-01,4748.4
2001-01-01,4812.2
2001-02-01,4905.2
2001-03-01,5021.1
2001-04-01,5110.5
2001-05-01,5094.7
2001-06-01,5183.7
2001-07-01,5223
2001-08-01,5262.5
2001-09-01,5419.8
2001-10-01,5488.8
2001-11-01,5615.5
2001-12-01,5756.8
2002-01-01,5752
2002-02-01,5787.2
2002-03-01,5840.4
2002-04-01,5840.3
2002-05-01,5810.3
2002-06-01,5851
2002-07-01,5884
2002-08-01,5932.1
2002-09-01,5937.1
2002-10-01,5958.1
2002-11-01,6130.1
2002-12-01,6236.8
2003-01-01,6204.9
2003-02-01,6218.6
2003-03-01,6258.9
2003-04-01,6273.4
2003-05-01,6252.8
2003-06-01,6326.2
2003-07-01,6412.1
2003-08-01,6458.4
2003-09-01,6426.3
2003-10-01,6398.1
2003-11-01,6432.7
2003-12-01,6453.6
2004-01-01,6418.9
2004-02-01,6435.9
2004-03-01,6512.5
2004-04-01,6567.4
2004-05-01,6579.6
2004-06-01,6607.7
2004-07-01,6595.1
2004-08-01,6617.4
2004-09-01,6633.4
2004-10-01,6628.4
2004-11-01,6682.3
2004-12-01,6734.1
2005-01-01,6676.6
2005-02-01,6643.9
2005-03-01,6675.7
2005-04-01,6698.4
2005-05-01,6622.3
2005-06-01,6679.4
2005-07-01,6693.4
2005-08-01,6722.8
2005-09-01,6757.7
2005-10-01,6782.2
2005-11-01,6821.3
2005-12-01,6899.7
2006-01-01,6901.8
2006-02-01,6888
2006-03-01,6939.8
2006-04-01,6985.7
2006-05-01,6913.9
2006-06-01,6974
2006-07-01,6982.5
2006-08-01,7010.6
2006-09-01,7037
2006-10-01,7085.7
2006-11-01,7161.6
2006-12-01,7291.7
2007-01-01,7283.3
2007-02-01,7283.8
2007-03-01,7390
2007-04-01,7488.4
2007-05-01,7461.1
2007-06-01,7536.1
2007-07-01,7568.6
2007-08-01,7718.8
2007-09-01,7835.2
2007-10-01,7934.4
2007-11-01,8066.6
2007-12-01,8206.1
2008-01-01,8241.8
2008-02-01,8440.7
2008-03-01,8643
2008-04-01,8713.3
2008-05-01,8677.6
2008-06-01,8727.5
2008-07-01,8727.1
2008-08-01,8740.5
2008-09-01,8745.1
2008-10-01,8788.8
2008-11-01,8955
2008-12-01,9257.3
2009-01-01,9407
2009-02-01,9465.2
2009-03-01,9599.1
2009-04-01,9599.1
2009-05-01,9613.7
2009-06-01,9622.1
2009-07-01,9577.6
2009-08-01,9552.7
2009-09-01,9534.6
2009-10-01,9531.8
2009-11-01,9589.6
2009-12-01,9633.9
2010-01-01,9566.9
2010-02-01,9560.6
2010-03-01,9542.1
2010-04-01,9477.6
2010-05-01,9429.2
2010-06-01,9436
2010-07-01,9417.5
2010-08-01,9489.1
2010-09-01,9552.2
2010-10-01,9628.8
2010-11-01,9730.1
2010-12-01,9839
2011-01-01,9819.5
2011-02-01,9841.9
2011-03-01,9964.2
2011-04-01,10036
2011-05-01,10036.5
2011-06-01,10109.2
2011-07-01,10233.5
2011-08-01,10364.7
2011-09-01,10433.9
2011-10-01,10494.7
2011-11-01,10597.3
2011-12-01,10738.4
2012-01-01,10790.2
2012-02-01,10807.2
2012-03-01,10917.6
2012-04-01,10939.4
2012-05-01,10877.8
2012-06-01,10951.7
2012-07-01,11002.3
2012-08-01,11095.8
2012-09-01,11207.5
2012-10-01,11292.8
2012-11-01,11413.5
2012-12-01,11654.3
2013-01-01,11675.9
2013-02-01,11648.9
2013-03-01,11762.9
2013-04-01,11774.8
2013-05-01,11695.7
2013-06-01,11771.7
2013-07-01,11822.5
2013-08-01,11892.2
2013-09-01,11994.8
2013-10-01,12122.9
2013-11-01,12193.5
2013-12-01,12340.8
2014-01-01,12355.4
2014-02-01,12397.8
2014-03-01,12501.3
2014-04-01,12501.9
2014-05-01,12442.7
2014-06-01,12496.3
2014-07-01,12555.7
2014-08-01,12593.7
2014-09-01,12659.8
2014-10-01,12759.1
2014-11-01,12874
2014-12-01,13075.1
2015-01-01,13080
2015-02-01,13156.1
2015-03-01,13274.3
2015-04-01,13276.6
2015-05-01,13191.2
2015-06-01,13261.7
2015-07-01,13345.4
2015-08-01,13449.3
2015-09-01,13502.6
2015-10-01,13575.6
2015-11-01,13727.1
2015-12-01,13870.4
2016-01-01,13835.3
2016-02-01,13883.1
2016-03-01,14084.5
2016-04-01,14142.7
2016-05-01,14081.4
2016-06-01,14175
2016-07-01,14242.3
2016-08-01,14377.4
2016-09-01,14420.6
2016-10-01,14447.8
2016-11-01,14582.7
2016-12-01,14722.3
2017-01-01,14663.3
2017-02-01,14677.2
2017-03-01,14851.2
2017-04-01,14892.1
2017-05-01,14812.5
2017-06-01,14850.5
2017-07-01,14893.8
2017-08-01,15015.6
2017-09-01,15082.7
2017-10-01,15135.1
2017-11-01,15204.9
2017-12-01,15388
2018-01-01,15296.1
2018-02-01,15272.5
2018-03-01,15450.2
2018-04-01,15460.7
2018-05-01,15360.7
2018-06-01,15456.5
2018-07-01,15471
2018-08-01,15530.5
2018-09-01,15555.7
2018-10-01,15536.8
2018-11-01,15600.7
2018-12-01,15819.1
2019-01-01,15788
2019-02-01,15756.3
2019-03-01,15922.8
2019-04-01,15936.6
2019-05-01,15911.2
2019-06-01,16119.1
2019-07-01,16258.2
2019-08-01,16407.7
2019-09-01,16535.8
2019-10-01,16712.6
2019-11-01,16926.1
2019-12-01,17128.6
2020-01-01,17141.6
2020-02-01,17141.8
2020-03-01,18059.5
2020-04-01,19682.3
2020-05-01,20576.2
2020-06-01,20880.2
2020-07-01,20977.9
2020-08-01,21042
2020-09-01,21195.1
2020-10-01,21302.1
2020-11-01,21582.8
2020-12-01,21875.9
2021-01-01,22010.2
